Iteration,Data Size (bytes),Encapsulation Time (s),Encrypt Time (s),Decrypt Time (s),Decapsulation Time (s),Total Time (s)
145,5564,4.1961669921875e-05,0.0003886222839355469,0.00036025047302246094,4.1484832763671875e-05,0.004015684127807617
146,5580,6.29425048828125e-05,0.00033783912658691406,0.0004138946533203125,3.790855407714844e-05,0.0011932849884033203
147,5610,6.413459777832031e-05,0.000453948974609375,0.00037980079650878906,5.3882598876953125e-05,0.04278445243835449
148,5503,7.2479248046875e-05,0.0003211498260498047,0.0003604888916015625,3.695487976074219e-05,0.0011129379272460938
149,5511,5.817413330078125e-05,0.0003025531768798828,0.0003266334533691406,3.24249267578125e-05,0.0009672641754150391
150,5532,5.269050598144531e-05,0.00030231475830078125,0.0003299713134765625,3.1948089599609375e-05,0.0009737014770507812
151,5594,4.9114227294921875e-05,0.0002906322479248047,0.0003113746643066406,3.0994415283203125e-05,0.0009093284606933594
152,5534,4.410743713378906e-05,0.0002791881561279297,0.0003085136413574219,3.075599670410156e-05,0.0008800029754638672
153,5524,4.267692565917969e-05,0.00028133392333984375,0.00030732154846191406,3.0279159545898438e-05,0.0008790493011474609
154,5540,4.220008850097656e-05,0.00028324127197265625,0.0003178119659423828,3.0279159545898438e-05,0.0010929107666015625
155,5589,4.315376281738281e-05,0.00028324127197265625,0.00031375885009765625,3.170967102050781e-05,0.0011494159698486328
156,5558,4.38690185546875e-05,0.00028705596923828125,0.0003104209899902344,3.0517578125e-05,0.0011496543884277344
157,5516,4.220008850097656e-05,0.000278472900390625,0.00032019615173339844,3.0279159545898438e-05,0.0011553764343261719
158,5516,4.172325134277344e-05,0.00028395652770996094,0.0003094673156738281,3.0040740966796875e-05,0.001148223876953125
159,5505,4.172325134277344e-05,0.00028252601623535156,0.0003070831298828125,3.0279159545898438e-05,0.0011780261993408203
160,5612,4.1484832763671875e-05,0.0002951622009277344,0.0003108978271484375,2.9802322387695312e-05,0.0012040138244628906
161,5571,4.172325134277344e-05,0.00027561187744140625,0.00030303001403808594,3.0040740966796875e-05,0.0011551380157470703
162,5584,4.2438507080078125e-05,0.000278472900390625,0.00030350685119628906,3.0040740966796875e-05,0.0014231204986572266
163,5606,4.124641418457031e-05,0.0002853870391845703,0.0003075599670410156,2.956390380859375e-05,0.0014929771423339844
164,5626,4.2438507080078125e-05,0.0002830028533935547,0.00030803680419921875,2.956390380859375e-05,0.0014882087707519531
165,5635,4.1484832763671875e-05,0.00030517578125,0.00041675567626953125,3.075599670410156e-05,0.0016663074493408203
166,5604,9.369850158691406e-05,0.000476837158203125,0.0004284381866455078,6.67572021484375e-05,0.0029001235961914062
167,5466,9.274482727050781e-05,0.0003325939178466797,0.00033783912658691406,3.528594970703125e-05,0.0011584758758544922
168,5566,6.461143493652344e-05,0.0003046989440917969,0.0003311634063720703,3.647804260253906e-05,0.0015420913696289062
169,5535,6.461143493652344e-05,0.0007426738739013672,0.0004825592041015625,5.364418029785156e-05,0.00459599494934082
170,5607,9.202957153320312e-05,0.0004048347473144531,0.0005764961242675781,4.172325134277344e-05,0.002972841262817383
171,5540,7.700920104980469e-05,0.0003781318664550781,0.0003724098205566406,4.6253204345703125e-05,0.001283884048461914
172,5603,6.699562072753906e-05,0.0002987384796142578,0.0003228187561035156,3.361701965332031e-05,0.0010046958923339844
173,5561,5.269050598144531e-05,0.0002944469451904297,0.00031948089599609375,3.170967102050781e-05,0.0009405612945556641
174,5475,5.3882598876953125e-05,0.0003192424774169922,0.00032806396484375,3.361701965332031e-05,0.0010104179382324219
175,5514,4.9114227294921875e-05,0.00029349327087402344,0.0003170967102050781,3.24249267578125e-05,0.000926971435546875
176,5541,4.410743713378906e-05,0.0002875328063964844,0.00031256675720214844,3.075599670410156e-05,0.0008931159973144531
177,5575,4.220008850097656e-05,0.00029921531677246094,0.000316619873046875,3.123283386230469e-05,0.0009069442749023438
178,5533,4.267692565917969e-05,0.0002834796905517578,0.00031065940856933594,3.075599670410156e-05,0.0010614395141601562
179,5536,4.124641418457031e-05,0.00027561187744140625,0.0003020763397216797,3.0040740966796875e-05,0.0011305809020996094
180,5569,4.076957702636719e-05,0.00029587745666503906,0.0003094673156738281,3.0517578125e-05,0.001188516616821289
181,5588,4.1484832763671875e-05,0.00028228759765625,0.000308990478515625,3.0040740966796875e-05,0.0011429786682128906
182,5545,4.124641418457031e-05,0.00028133392333984375,0.0003581047058105469,3.0279159545898438e-05,0.001245737075805664
183,5525,8.106231689453125e-05,0.0005638599395751953,0.0007224082946777344,8.702278137207031e-05,0.0025238990783691406
184,5448,0.00011420249938964844,0.00043964385986328125,0.0003345012664794922,4.3392181396484375e-05,0.0014426708221435547
185,5523,7.462501525878906e-05,0.0003447532653808594,0.0003886222839355469,4.363059997558594e-05,0.0012607574462890625
186,5486,7.271766662597656e-05,0.0002951622009277344,0.0003731250762939453,3.337860107421875e-05,0.001291036605834961
187,5448,7.2479248046875e-05,0.000408172607421875,0.0003631114959716797,4.38690185546875e-05,0.0016949176788330078
188,5530,7.176399230957031e-05,0.0003178119659423828,0.0005819797515869141,7.009506225585938e-05,0.0017604827880859375
189,5479,7.224082946777344e-05,0.0003857612609863281,0.0004143714904785156,4.5299530029296875e-05,0.001331329345703125
190,5434,7.319450378417969e-05,0.0003731250762939453,0.00040841102600097656,5.054473876953125e-05,0.001514434814453125
191,5537,7.724761962890625e-05,0.0003364086151123047,0.0003447532653808594,3.838539123535156e-05,0.001341104507446289
192,5572,5.984306335449219e-05,0.0002930164337158203,0.0003199577331542969,3.266334533691406e-05,0.001415252685546875
193,5535,5.030632019042969e-05,0.0003108978271484375,0.00032591819763183594,3.457069396972656e-05,0.0038602352142333984
194,5551,4.863739013671875e-05,0.00028896331787109375,0.00031280517578125,3.0517578125e-05,0.0009157657623291016
195,5543,5.1975250244140625e-05,0.0003001689910888672,0.0003142356872558594,3.218650817871094e-05,0.0009541511535644531
196,5531,4.696846008300781e-05,0.0002846717834472656,0.0003113746643066406,3.0994415283203125e-05,0.0009028911590576172
197,5546,4.4345855712890625e-05,0.0002791881561279297,0.0003075599670410156,3.0279159545898438e-05,0.0008788108825683594
198,5496,4.1961669921875e-05,0.00027370452880859375,0.0003008842468261719,2.9802322387695312e-05,0.0008566379547119141
199,5534,4.1961669921875e-05,0.0002722740173339844,0.0003342628479003906,2.9802322387695312e-05,0.0008862018585205078
200,5555,4.1484832763671875e-05,0.0002818107604980469,0.0003077983856201172,2.9802322387695312e-05,0.0008771419525146484
201,5441,4.1484832763671875e-05,0.0002751350402832031,0.0003044605255126953,2.956390380859375e-05,0.0008578300476074219
202,5514,4.100799560546875e-05,0.0003871917724609375,0.0005230903625488281,6.794929504394531e-05,0.0017802715301513672
203,5427,7.939338684082031e-05,0.0004680156707763672,0.0003418922424316406,4.315376281738281e-05,0.001760244369506836
204,5538,6.556510925292969e-05,0.0002949237823486328,0.00031828880310058594,3.314018249511719e-05,0.000982046127319336
205,5490,4.9591064453125e-05,0.00028204917907714844,0.00038051605224609375,5.9604644775390625e-05,0.0012736320495605469
206,5583,6.556510925292969e-05,0.0003097057342529297,0.000324249267578125,3.2901763916015625e-05,0.0011010169982910156
207,5582,5.412101745605469e-05,0.0003027915954589844,0.00032806396484375,3.3855438232421875e-05,0.0012066364288330078
208,5523,5.602836608886719e-05,0.0002932548522949219,0.0003285408020019531,3.3855438232421875e-05,0.001161336898803711
209,5513,5.7220458984375e-05,0.00038933753967285156,0.0004367828369140625,5.412101745605469e-05,0.0016224384307861328
210,5506,6.008148193359375e-05,0.00037789344787597656,0.00035262107849121094,3.8623809814453125e-05,0.001264810562133789
211,5522,7.033348083496094e-05,0.00048804283142089844,0.0004124641418457031,5.53131103515625e-05,0.0022249221801757812
212,5535,7.987022399902344e-05,0.0003190040588378906,0.00032830238342285156,3.838539123535156e-05,0.0010914802551269531
213,5631,5.8650970458984375e-05,0.0002918243408203125,0.00031757354736328125,3.1948089599609375e-05,0.0014102458953857422
214,5443,4.792213439941406e-05,0.00028634071350097656,0.00031280517578125,3.075599670410156e-05,0.001504659652709961
215,5573,4.38690185546875e-05,0.00028967857360839844,0.00031280517578125,3.314018249511719e-05,0.0015377998352050781
216,5586,4.482269287109375e-05,0.0002834796905517578,0.0003123283386230469,3.0279159545898438e-05,0.0015230178833007812
217,5575,4.172325134277344e-05,0.0003466606140136719,0.0003292560577392578,3.6716461181640625e-05,0.003858804702758789
218,5596,5.53131103515625e-05,0.00033354759216308594,0.00032806396484375,3.600120544433594e-05,0.0010418891906738281
219,5525,5.984306335449219e-05,0.00030231475830078125,0.00031757354736328125,3.266334533691406e-05,0.0009644031524658203
220,5562,5.1975250244140625e-05,0.00029778480529785156,0.0004601478576660156,7.557868957519531e-05,0.001313924789428711
221,5583,7.867813110351562e-05,0.0004737377166748047,0.0003528594970703125,4.57763671875e-05,0.001413583755493164
222,5549,6.246566772460938e-05,0.00029349327087402344,0.0003159046173095703,3.2901763916015625e-05,0.0009546279907226562
223,5531,4.935264587402344e-05,0.0002796649932861328,0.0003097057342529297,3.0040740966796875e-05,0.0008955001831054688
224,5462,4.220008850097656e-05,0.00029540061950683594,0.00032067298889160156,3.24249267578125e-05,0.0009148120880126953
225,5569,5.173683166503906e-05,0.0003802776336669922,0.00036072731018066406,4.38690185546875e-05,0.0011606216430664062
226,5579,6.961822509765625e-05,0.00030875205993652344,0.0003428459167480469,3.4809112548828125e-05,0.0010600090026855469
227,5581,6.008148193359375e-05,0.0003790855407714844,0.00035643577575683594,3.933906555175781e-05,0.00139617919921875
228,5586,6.461143493652344e-05,0.00031495094299316406,0.0003628730773925781,4.315376281738281e-05,0.0011701583862304688
229,5486,6.747245788574219e-05,0.00043129920959472656,0.00042819976806640625,5.9604644775390625e-05,0.0015316009521484375
230,5543,6.747245788574219e-05,0.0003185272216796875,0.0003600120544433594,3.743171691894531e-05,0.0011019706726074219
231,5582,5.817413330078125e-05,0.0003750324249267578,0.00043129920959472656,5.078315734863281e-05,0.0014886856079101562
232,5501,7.271766662597656e-05,0.00031375885009765625,0.0003273487091064453,3.600120544433594e-05,0.0010676383972167969
233,5586,5.269050598144531e-05,0.0002856254577636719,0.0003151893615722656,3.0994415283203125e-05,0.0011050701141357422
234,5601,4.482269287109375e-05,0.0002796649932861328,0.0003063678741455078,3.0279159545898438e-05,0.0013930797576904297
235,5597,4.267692565917969e-05,0.0002849102020263672,0.00031185150146484375,3.0279159545898438e-05,0.0015065670013427734
236,5569,4.5299530029296875e-05,0.00029349327087402344,0.0003159046173095703,3.218650817871094e-05,0.0015268325805664062
237,5621,4.38690185546875e-05,0.0003039836883544922,0.00034499168395996094,3.314018249511719e-05,0.0015652179718017578
238,5486,5.2928924560546875e-05,0.0002925395965576172,0.0003159046173095703,3.1948089599609375e-05,0.0014357566833496094
239,5530,4.553794860839844e-05,0.00027823448181152344,0.0003228187561035156,3.0994415283203125e-05,0.001556396484375
240,5496,4.410743713378906e-05,0.0002834796905517578,0.00037550926208496094,3.266334533691406e-05,0.0016574859619140625
